id,points,rebounds,assists,blocks,steals,turnover,fouls,fieldGoalsPercentage,threePointsPercentage,freeThrowsPercentage,partOfteam,partOfgame
1399,108,48,54,14,20,19,11,0.57,0.21,0.87,6,1289
1400,124,57,46,13,11,10,17,0.68,0.21,0.79,9,1290
1401,98,56,42,10,17,17,18,0.55,0.23,0.84,14,1291
1402,92,58,44,19,16,14,11,0.60,0.43,0.70,10,1292
1403,83,48,41,13,18,17,19,0.64,0.39,0.70,19,1293
1404,130,43,42,17,17,14,10,0.68,0.40,0.88,12,1294
1405,123,47,59,10,10,20,10,0.44,0.40,0.75,28,1295
1406,91,56,49,11,12,17,17,0.48,0.27,0.71,8,1296
1407,89,41,40,15,11,13,15,0.60,0.29,0.79,17,1297
1408,122,40,46,10,10,19,18,0.60,0.31,0.76,10,1298
1409,124,55,58,17,17,19,10,0.50,0.35,0.80,30,1299
1410,130,60,46,14,19,18,12,0.57,0.50,0.74,12,1300
1411,100,57,44,15,18,13,10,0.43,0.38,0.89,25,1301
1412,93,55,48,13,19,19,16,0.62,0.34,0.83,1,1302
1413,91,48,43,12,13,19,15,0.59,0.48,0.88,3,1303
1414,104,42,58,13,14,14,15,0.45,0.29,0.75,15,1304
1415,111,50,41,12,13,15,19,0.59,0.45,0.89,3,1305
1416,96,56,49,15,15,19,18,0.46,0.33,0.73,1,1306
1417,122,43,56,18,20,20,15,0.53,0.46,0.75,28,1307
1418,107,56,48,11,11,18,16,0.41,0.30,0.79,26,1308
1419,114,45,47,13,13,14,14,0.54,0.26,0.75,29,1309
1420,87,51,46,10,14,16,13,0.58,0.40,0.71,6,1310
1421,128,44,60,20,16,17,15,0.62,0.38,0.86,6,1311
1422,115,54,47,11,14,11,19,0.68,0.23,0.78,30,1312
1423,124,47,51,14,14,17,12,0.43,0.47,0.82,15,1313
1424,97,58,46,14,11,20,20,0.54,0.45,0.85,19,1314
1425,115,56,40,18,15,18,18,0.41,0.30,0.81,19,1315
1426,96,53,44,14,16,14,19,0.47,0.26,0.73,29,1316
1427,129,41,50,10,20,17,12,0.54,0.49,0.89,25,1317
1428,117,47,41,13,16,17,18,0.55,0.21,0.81,24,1318
1429,100,48,50,14,11,14,14,0.65,0.32,0.74,30,1319
1430,101,45,40,12,13,20,10,0.59,0.32,0.71,27,1320
1431,110,58,42,15,19,16,19,0.51,0.43,0.78,17,1321
1432,125,53,48,18,19,10,10,0.58,0.45,0.79,30,1322
1433,120,53,52,11,13,19,13,0.50,0.48,0.77,13,1323
1434,130,56,56,11,19,20,14,0.41,0.39,0.87,5,1324
1435,128,47,49,14,16,15,20,0.64,0.36,0.77,5,1325
1436,89,50,40,10,15,20,11,0.62,0.22,0.77,30,1326
1437,99,43,52,15,14,13,11,0.46,0.30,0.83,20,1327
1438,98,40,54,18,18,15,17,0.61,0.40,0.75,7,1328
1439,101,59,60,17,12,10,15,0.50,0.23,0.73,29,1329
1440,91,45,50,15,18,10,14,0.62,0.27,0.84,22,1330
1441,105,40,59,16,19,17,19,0.59,0.24,0.80,1,1331
1442,86,51,40,13,19,10,20,0.44,0.35,0.90,27,1332
1443,83,60,52,17,10,13,18,0.53,0.22,0.76,30,1333
1444,89,41,57,11,16,14,16,0.45,0.23,0.86,2,1334
1445,122,51,40,16,20,12,19,0.60,0.43,0.89,11,1335
1446,116,43,53,15,15,19,19,0.57,0.41,0.76,27,1336
1447,120,49,41,13,12,19,13,0.64,0.26,0.82,8,1337
1448,89,50,53,18,15,17,17,0.46,0.34,0.78,9,1338
1449,82,45,40,19,17,11,12,0.67,0.31,0.84,15,1339
1450,87,58,53,15,20,19,18,0.52,0.36,0.73,22,1340
1451,129,43,49,13,18,10,15,0.53,0.50,0.87,29,1341
1452,113,43,41,18,19,11,20,0.57,0.26,0.86,5,1342
1453,97,49,45,11,12,11,16,0.55,0.21,0.81,18,1343
1454,119,43,56,14,16,19,19,0.61,0.48,0.90,19,1344
1455,84,40,43,14,17,16,10,0.60,0.32,0.87,26,1345
1456,115,53,44,12,10,17,20,0.54,0.46,0.85,6,1346
1457,126,44,60,19,10,16,20,0.46,0.42,0.70,24,1347
1458,89,48,45,16,19,20,18,0.67,0.24,0.71,10,1348
1459,94,57,52,17,10,20,19,0.44,0.46,0.73,28,1349
1460,114,57,54,15,15,17,10,0.60,0.26,0.82,19,1350
1461,128,48,49,10,20,18,18,0.64,0.38,0.88,19,1351
1462,125,40,54,16,15,17,20,0.41,0.29,0.83,16,1352
1463,126,46,56,13,17,20,17,0.68,0.23,0.89,3,1353
1464,110,51,44,17,15,20,20,0.46,0.22,0.84,12,1354
1465,112,51,48,16,11,18,14,0.66,0.47,0.70,23,1355
1466,122,44,50,17,19,18,16,0.40,0.44,0.90,21,1356
1467,90,56,59,13,15,10,12,0.46,0.29,0.76,13,1357
1468,130,45,60,12,11,15,14,0.63,0.47,0.71,9,1358
1469,104,40,58,17,20,12,14,0.65,0.36,0.83,6,1359
1470,130,44,57,11,13,13,10,0.45,0.26,0.83,19,1360
1471,113,43,49,13,17,11,10,0.53,0.21,0.73,14,1361
1472,115,51,53,17,14,17,11,0.61,0.25,0.81,2,1362
1473,122,58,53,12,12,20,20,0.47,0.23,0.85,13,1363
1474,83,55,43,15,13,16,12,0.52,0.45,0.83,8,1364
1475,111,50,40,15,15,16,15,0.49,0.30,0.79,14,1365
1476,112,59,43,10,19,13,14,0.45,0.33,0.75,29,1366
1477,93,53,50,20,15,19,17,0.51,0.20,0.74,10,1367
1478,130,52,41,18,18,15,11,0.54,0.44,0.86,18,1368
1479,128,43,60,17,20,15,14,0.42,0.30,0.89,22,1369
1480,117,49,60,11,15,14,16,0.63,0.40,0.74,12,1370
1481,121,49,40,16,13,18,11,0.46,0.26,0.73,25,1371
1482,87,55,56,17,17,11,17,0.63,0.32,0.88,18,1372
1483,118,44,47,14,16,15,13,0.68,0.44,0.89,16,1373
1484,100,47,50,19,20,19,12,0.52,0.43,0.89,19,1374
1485,124,46,47,20,13,11,15,0.70,0.21,0.86,25,1375
1486,111,55,60,14,16,11,14,0.48,0.49,0.84,21,1376
1487,130,43,47,10,19,12,20,0.50,0.41,0.78,2,1377
1488,89,54,41,15,14,16,15,0.55,0.49,0.87,9,1378
1489,130,47,46,19,16,10,10,0.48,0.23,0.84,26,1379
1490,95,58,54,17,15,13,16,0.54,0.32,0.76,25,1380
1491,130,58,57,20,14,17,12,0.41,0.48,0.80,29,1381
1492,116,47,58,18,14,13,17,0.50,0.32,0.79,24,1382
1493,105,57,42,19,11,13,18,0.51,0.40,0.77,25,1383
1494,109,56,60,15,13,20,19,0.58,0.32,0.76,23,1384
1495,116,52,48,14,20,18,14,0.48,0.28,0.71,28,1385
1496,103,54,50,11,10,18,16,0.67,0.50,0.84,13,1386
1497,107,43,44,15,12,13,10,0.42,0.27,0.80,1,1387
1498,87,60,56,17,20,17,13,0.45,0.47,0.82,24,1388
1499,126,47,57,20,10,10,15,0.68,0.25,0.82,3,1389
1500,97,41,55,14,18,11,16,0.63,0.36,0.76,1,1390
1501,91,40,57,12,19,10,10,0.61,0.33,0.82,30,1391
1502,111,54,49,16,10,12,17,0.43,0.28,0.79,26,1392
1503,105,47,53,15,20,14,18,0.58,0.46,0.84,16,1393
1504,110,60,51,17,13,20,16,0.62,0.50,0.77,9,1394
1505,87,56,51,20,13,12,17,0.69,0.42,0.84,8,1395
1506,119,52,48,12,14,14,15,0.68,0.49,0.80,21,1396
1507,123,52,48,15,13,11,20,0.65,0.39,0.73,30,1397
1508,85,49,58,20,17,13,13,0.69,0.42,0.73,11,1398
1509,119,55,52,19,19,14,14,0.66,0.32,0.85,14,1399
1510,129,52,60,17,19,13,11,0.43,0.27,0.79,17,1400
1511,126,55,54,15,18,19,14,0.45,0.38,0.76,17,1401
1512,82,53,46,10,16,15,14,0.43,0.21,0.82,8,1402
1513,127,44,44,11,14,17,18,0.59,0.21,0.75,23,1403
1514,101,54,57,18,16,13,16,0.43,0.47,0.73,18,1404
1515,119,58,49,20,10,19,13,0.58,0.29,0.72,12,1405
1516,105,40,58,15,19,20,15,0.57,0.37,0.77,29,1406
1517,99,55,41,17,12,12,19,0.49,0.43,0.80,28,1407
1518,125,53,56,18,18,20,15,0.54,0.21,0.71,10,1408
1519,112,54,58,16,10,16,12,0.67,0.29,0.74,21,1409
1520,128,44,49,16,18,19,18,0.53,0.24,0.84,7,1410
1521,99,50,40,16,18,18,11,0.64,0.45,0.85,4,1411
1522,95,52,46,11,19,19,13,0.53,0.46,0.87,20,1412
1523,130,60,52,11,18,16,12,0.50,0.43,0.75,6,1413
1524,126,44,57,15,14,18,16,0.42,0.45,0.73,12,1414
1525,85,46,40,12,19,10,13,0.54,0.37,0.78,12,1415
1526,95,56,41,19,12,12,17,0.42,0.43,0.71,11,1416
1527,95,57,55,20,13,18,11,0.60,0.38,0.87,27,1417
1528,95,55,51,15,17,13,18,0.44,0.40,0.83,28,1418
1529,120,50,48,19,19,20,13,0.52,0.24,0.89,19,1419
1530,95,42,52,15,11,17,18,0.60,0.48,0.82,19,1420
1531,85,57,56,18,20,16,16,0.62,0.48,0.83,3,1421
1532,127,59,44,14,19,11,16,0.66,0.38,0.78,30,1422
1533,101,58,52,13,14,17,15,0.57,0.38,0.89,18,1423
1534,91,44,44,18,16,19,19,0.44,0.26,0.83,25,1424
1535,106,48,56,11,15,19,11,0.64,0.32,0.82,24,1425
1536,120,52,52,10,15,12,11,0.61,0.42,0.84,27,1426
1537,94,47,59,13,19,12,15,0.53,0.33,0.88,22,1427
1538,84,51,44,15,16,13,19,0.55,0.38,0.78,6,1428
1539,125,57,52,11,12,11,18,0.62,0.44,0.89,16,1429
1540,90,60,47,16,12,10,18,0.51,0.29,0.75,27,1430
1541,113,46,40,13,11,13,11,0.46,0.24,0.79,9,1431
1542,99,52,47,13,15,12,16,0.40,0.35,0.75,28,1432
1543,111,55,57,19,19,14,20,0.53,0.34,0.86,30,1433
1544,115,60,60,12,15,12,14,0.50,0.22,0.89,13,1434
1545,98,50,54,16,13,18,18,0.53,0.21,0.80,22,1435
1546,127,46,60,14,11,19,11,0.64,0.36,0.74,1,1436
1547,127,59,41,11,10,11,15,0.68,0.25,0.81,16,1437
1548,107,52,58,17,18,16,12,0.64,0.34,0.85,10,1438
1549,111,51,44,16,20,12,19,0.54,0.38,0.85,27,1439
1550,120,52,43,10,10,18,16,0.60,0.27,0.84,11,1440
1551,92,44,45,11,16,20,10,0.62,0.33,0.87,14,1441
1552,124,56,55,12,11,19,17,0.40,0.45,0.75,4,1442
1553,114,50,42,14,14,20,11,0.46,0.27,0.82,12,1443
1554,80,50,52,17,17,16,10,0.54,0.46,0.78,15,1444
1555,94,47,44,12,12,10,19,0.46,0.47,0.83,25,1445
1556,95,51,45,14,10,11,16,0.63,0.45,0.72,19,1446
1557,92,49,56,18,18,11,11,0.43,0.25,0.78,1,1447
1558,97,60,46,18,20,17,18,0.49,0.28,0.83,1,1448
1559,110,50,53,10,18,17,15,0.58,0.46,0.70,7,1449
1560,83,52,45,19,12,19,12,0.55,0.40,0.77,16,1450
1561,86,42,53,18,10,17,12,0.46,0.37,0.84,16,1451
1562,88,45,48,13,16,17,20,0.44,0.38,0.75,5,1452
1563,88,59,41,17,16,12,14,0.67,0.35,0.90,19,1453
1564,83,57,53,16,15,12,15,0.45,0.48,0.74,16,1454
1565,88,48,47,16,12,11,19,0.47,0.24,0.76,13,1455
1566,84,50,54,19,18,14,13,0.62,0.36,0.72,26,1456
1567,117,58,44,18,12,11,16,0.65,0.43,0.85,14,1457
1568,123,52,40,13,11,14,16,0.54,0.33,0.85,2,1458
1569,82,46,53,10,10,13,18,0.66,0.44,0.74,7,1459
1570,113,44,58,13,16,20,17,0.66,0.30,0.83,6,1460
1571,81,60,60,20,18,18,14,0.43,0.42,0.86,1,1461
1572,102,59,48,19,14,10,14,0.44,0.24,0.87,16,1462
1573,93,60,49,16,15,18,15,0.42,0.41,0.83,11,1463
1574,80,57,40,15,12,11,18,0.46,0.27,0.71,26,1464
1575,96,55,43,14,10,12,12,0.69,0.40,0.81,7,1465
1576,125,46,47,13,15,13,13,0.48,0.41,0.80,8,1466
1577,90,57,57,10,11,13,13,0.61,0.36,0.81,29,1467
1578,129,45,53,15,13,14,18,0.59,0.35,0.75,18,1468
1579,117,40,54,20,12,14,18,0.64,0.22,0.77,24,1469
1580,95,44,54,17,12,18,11,0.62,0.26,0.74,2,1470
1581,87,59,58,13,13,12,15,0.48,0.31,0.76,30,1471
1582,127,45,49,12,18,13,18,0.52,0.45,0.88,14,1472
1583,123,40,45,19,20,18,15,0.54,0.32,0.80,17,1473
1584,87,60,47,20,16,11,11,0.67,0.21,0.90,25,1474
1585,112,49,53,15,20,16,11,0.46,0.43,0.81,18,1475
1586,116,42,41,15,12,17,18,0.61,0.49,0.82,18,1476
1587,89,56,59,16,14,13,19,0.68,0.24,0.78,16,1477
1588,100,43,49,14,13,11,11,0.57,0.48,0.82,16,1478
1589,85,51,49,20,11,10,14,0.50,0.43,0.77,7,1479
1590,96,46,50,11,12,19,12,0.43,0.25,0.88,14,1480
1591,81,50,53,17,10,15,10,0.65,0.22,0.84,29,1481
1592,93,45,41,16,18,17,12,0.70,0.46,0.86,28,1482
1593,107,59,42,19,18,10,14,0.68,0.32,0.79,29,1483
1594,121,53,43,19,18,14,10,0.48,0.23,0.78,17,1484
1595,118,48,44,14,15,16,16,0.56,0.25,0.88,22,1485
1596,103,49,48,20,12,12,18,0.57,0.24,0.88,25,1486
1597,103,44,41,19,14,15,12,0.65,0.48,0.74,4,1487
1598,119,45,43,10,10,10,13,0.43,0.25,0.80,12,1488
1599,125,54,51,12,11,16,20,0.46,0.35,0.88,5,1489
1600,98,52,60,15,10,11,18,0.65,0.25,0.74,9,1490
1601,118,59,51,10,10,16,12,0.63,0.33,0.84,26,1491
1602,97,46,57,12,15,11,20,0.66,0.45,0.82,26,1492
1603,108,44,52,11,12,13,15,0.61,0.40,0.70,3,1493
1604,122,41,42,12,12,12,10,0.54,0.34,0.85,5,1494
1605,87,49,60,15,12,15,10,0.67,0.48,0.74,16,1495
1606,127,53,50,18,10,15,16,0.49,0.30,0.90,21,1496
1607,125,59,54,11,11,17,13,0.54,0.47,0.88,26,1497
1608,88,42,44,12,11,16,14,0.68,0.27,0.79,22,1498
1609,116,59,41,20,11,13,16,0.41,0.47,0.84,6,1499
1610,107,60,60,15,10,19,14,0.63,0.21,0.85,9,1500
1611,97,40,43,18,19,19,19,0.66,0.22,0.81,23,1501
1612,121,49,43,17,10,10,14,0.44,0.32,0.80,13,1502
1613,125,44,51,11,14,15,20,0.41,0.41,0.71,1,1503
1614,81,60,56,10,10,17,14,0.59,0.49,0.80,25,1504
1615,112,59,51,17,10,14,17,0.40,0.46,0.70,15,1505
1616,98,41,50,17,14,13,10,0.67,0.25,0.74,21,1506
1617,113,53,41,20,10,19,11,0.40,0.33,0.80,18,1507
1618,116,59,60,10,15,13,11,0.53,0.30,0.89,6,1508
1619,101,49,56,19,20,13,20,0.44,0.33,0.89,7,1509
1620,104,42,44,15,14,14,19,0.52,0.27,0.73,17,1510
1621,92,43,59,13,10,17,17,0.61,0.28,0.84,2,1511
1622,121,54,55,14,10,16,15,0.56,0.38,0.88,18,1512
1623,100,47,53,16,12,15,11,0.70,0.26,0.82,6,1513
1624,83,59,55,14,14,14,14,0.49,0.20,0.85,3,1514
1625,128,53,53,19,17,16,13,0.60,0.44,0.76,9,1515
1626,130,60,42,19,13,13,11,0.46,0.39,0.73,12,1516
1627,115,50,52,11,15,18,16,0.59,0.24,0.79,5,1517
1628,114,54,53,17,13,11,12,0.66,0.31,0.85,19,1518
1629,103,41,58,17,15,15,16,0.42,0.28,0.80,27,1519
1630,101,49,44,14,16,20,17,0.60,0.37,0.74,2,1520
1631,86,48,56,17,17,13,16,0.60,0.33,0.77,11,1521
1632,105,58,41,20,15,16,19,0.42,0.24,0.82,15,1522
1633,104,49,57,15,15,10,14,0.68,0.32,0.73,9,1523
1634,121,59,47,18,17,11,19,0.40,0.46,0.78,30,1524
1635,103,45,44,16,15,12,10,0.54,0.30,0.85,26,1525
1636,99,54,59,15,17,19,12,0.66,0.36,0.81,21,1526
1637,128,60,46,17,15,11,13,0.61,0.38,0.85,29,1527
1638,101,45,43,14,20,19,15,0.54,0.24,0.86,4,1528
1639,94,42,58,16,19,14,12,0.58,0.49,0.75,5,1529
1640,90,52,54,10,17,11,18,0.53,0.47,0.87,2,1530
1641,86,43,54,13,16,16,13,0.47,0.23,0.77,26,1531
1642,94,44,42,11,13,20,17,0.52,0.22,0.85,6,1532
1643,89,58,54,13,12,19,12,0.48,0.27,0.88,13,1533
1644,103,58,48,17,17,11,11,0.69,0.41,0.75,2,1534
1645,90,59,57,12,19,17,13,0.49,0.50,0.84,12,1535
1646,111,46,52,13,13,14,13,0.64,0.39,0.89,24,1536
1647,116,60,48,18,12,15,16,0.65,0.47,0.76,14,1537
1648,113,57,52,15,10,15,16,0.59,0.44,0.82,23,1538
1649,85,54,47,20,20,14,16,0.60,0.49,0.78,15,1539
1650,122,47,57,14,11,17,20,0.44,0.24,0.72,13,1540
1651,119,48,47,13,19,14,17,0.42,0.21,0.74,24,1541
1652,90,42,47,14,17,13,11,0.61,0.47,0.88,2,1542
1653,104,42,54,11,17,15,19,0.55,0.36,0.75,4,1543
1654,130,60,43,14,20,14,13,0.66,0.20,0.85,12,1544
1655,92,56,59,13,15,12,17,0.66,0.39,0.80,10,1545
1656,105,55,53,12,16,18,12,0.43,0.40,0.79,14,1546
1657,114,60,43,19,20,11,12,0.63,0.45,0.71,2,1547
1658,82,50,41,11,18,14,18,0.40,0.46,0.89,25,1548
1659,129,41,58,20,17,11,16,0.61,0.49,0.76,7,1549
1660,81,59,42,12,19,11,10,0.59,0.25,0.74,24,1550
1661,84,50,40,20,17,15,14,0.47,0.30,0.87,9,1551
1662,94,56,46,12,12,19,20,0.57,0.44,0.71,5,1552
1663,111,51,40,14,15,15,13,0.65,0.31,0.75,25,1553
1664,90,49,56,19,10,20,20,0.50,0.30,0.80,9,1554
1665,127,42,54,12,18,10,11,0.67,0.25,0.85,19,1555
1666,93,54,51,19,17,16,11,0.63,0.25,0.87,20,1556
1667,94,45,60,11,19,20,13,0.56,0.25,0.90,4,1557
1668,126,41,52,12,19,18,11,0.54,0.30,0.88,29,1558
1669,84,44,53,12,14,18,19,0.64,0.32,0.83,20,1559
1670,99,43,40,17,11,11,20,0.63,0.49,0.82,12,1560
1671,100,57,47,20,20,15,16,0.69,0.26,0.88,18,1561
1672,110,45,49,19,16,13,19,0.61,0.21,0.75,13,1562
1673,86,55,56,12,16,11,20,0.42,0.37,0.89,2,1563
1674,106,56,51,19,20,18,19,0.42,0.37,0.71,26,1564
1675,111,58,51,12,10,16,14,0.40,0.30,0.82,14,1565
1676,86,53,46,19,13,12,19,0.43,0.49,0.80,2,1566
1677,124,49,58,18,12,13,15,0.56,0.20,0.85,2,1567
1678,80,44,51,18,14,11,13,0.48,0.29,0.74,8,1568
1679,123,45,46,18,18,18,16,0.55,0.48,0.78,14,1569
1680,90,43,46,17,20,18,18,0.65,0.35,0.89,26,1570
1681,96,54,58,13,18,11,16,0.68,0.28,0.85,3,1571
1682,128,55,49,10,20,17,15,0.58,0.45,0.80,20,1572
1683,125,53,57,19,12,18,18,0.50,0.29,0.82,21,1573
1684,119,55,53,17,12,10,10,0.57,0.47,0.78,5,1574
1685,113,56,42,17,10,14,18,0.45,0.44,0.76,30,1575
1686,94,58,49,19,19,13,11,0.67,0.35,0.74,4,1576
1687,125,40,52,11,14,16,20,0.61,0.47,0.84,26,1577
1688,130,53,41,15,13,14,16,0.42,0.38,0.81,2,1578
1689,114,47,57,13,19,13,18,0.61,0.33,0.75,28,1579
1690,111,49,40,18,15,19,20,0.64,0.38,0.83,5,1580
1691,109,47,48,19,10,11,15,0.54,0.35,0.76,23,1581
1692,122,53,43,16,10,14,20,0.54,0.21,0.77,17,1582
1693,105,59,52,11,10,16,10,0.65,0.27,0.86,30,1583
1694,107,41,51,19,20,11,17,0.42,0.25,0.87,25,1584
1695,119,51,48,11,20,16,16,0.59,0.50,0.88,22,1585
1696,107,46,57,17,13,18,12,0.67,0.24,0.74,27,1586
1697,126,40,50,15,16,20,13,0.60,0.43,0.70,7,1587
1698,95,52,55,15,19,16,17,0.55,0.27,0.82,24,1588
1699,100,50,49,18,10,17,11,0.50,0.26,0.87,15,1589
1700,129,53,56,12,10,15,13,0.49,0.24,0.83,6,1590
1701,121,44,52,15,19,11,20,0.61,0.29,0.76,22,1591
1702,122,54,55,14,11,20,15,0.48,0.24,0.83,5,1592
1703,101,42,50,12,16,15,18,0.42,0.50,0.80,16,1593
1704,107,57,59,17,19,13,19,0.50,0.31,0.81,6,1594
1705,83,45,57,11,18,10,16,0.60,0.33,0.71,5,1595
1706,97,46,45,13,17,10,15,0.48,0.45,0.79,7,1596
1707,110,58,42,19,16,16,16,0.68,0.44,0.78,3,1597
1708,90,44,59,20,10,11,12,0.40,0.42,0.87,14,1598
1709,106,56,43,18,20,10,18,0.67,0.34,0.84,14,1599
1710,98,44,58,12,16,11,17,0.70,0.38,0.86,17,1600
1711,111,60,49,11,15,17,19,0.53,0.27,0.75,5,1601
1712,101,60,59,18,11,14,20,0.53,0.30,0.72,10,1602
1713,119,48,47,20,20,18,13,0.41,0.27,0.76,29,1603
1714,89,57,56,17,20,18,15,0.62,0.25,0.80,22,1604
1715,94,53,47,18,10,20,14,0.51,0.29,0.81,23,1605
1716,128,46,60,19,11,18,15,0.52,0.26,0.84,23,1606
1717,130,48,59,13,19,17,13,0.60,0.25,0.79,21,1607
1718,87,58,58,14,11,12,19,0.53,0.50,0.86,16,1608
1719,88,57,43,18,12,15,18,0.63,0.29,0.85,25,1609
1720,118,47,46,16,10,12,18,0.53,0.41,0.75,2,1610
1721,119,45,45,19,18,17,18,0.44,0.34,0.87,25,1611
1722,86,58,56,16,11,13,14,0.59,0.47,0.81,1,1612
1723,107,47,45,12,15,14,19,0.60,0.37,0.86,14,1613
1724,95,59,52,18,16,17,17,0.56,0.32,0.74,29,1614
1725,107,60,59,10,16,16,15,0.69,0.32,0.73,29,1615
1726,118,40,55,18,20,20,15,0.47,0.39,0.75,9,1616
1727,113,45,50,17,17,14,20,0.58,0.41,0.72,27,1617
1728,103,41,41,18,20,15,20,0.52,0.40,0.74,22,1618
1729,122,43,54,15,11,10,20,0.57,0.32,0.79,25,1619
1730,95,58,46,15,17,17,19,0.65,0.41,0.89,22,1620
1731,114,42,48,18,20,17,13,0.64,0.45,0.73,29,1621
1732,109,59,59,16,13,15,19,0.48,0.35,0.76,20,1622
1733,107,58,52,20,14,17,17,0.56,0.49,0.81,7,1623
1734,105,40,49,11,20,17,15,0.62,0.21,0.87,6,1624
1735,111,58,51,17,19,13,10,0.44,0.41,0.86,11,1625
1736,93,51,57,14,13,12,13,0.65,0.49,0.89,24,1626
1737,100,54,54,11,20,14,16,0.48,0.29,0.89,30,1627
1738,83,54,44,13,14,11,12,0.49,0.45,0.88,29,1628
1739,110,51,51,18,11,10,17,0.44,0.45,0.77,24,1629
1740,116,56,53,11,19,15,18,0.61,0.33,0.84,2,1630
1741,123,45,40,16,11,18,12,0.66,0.41,0.85,18,1631
1742,102,45,54,19,12,10,10,0.56,0.41,0.76,6,1632
1743,127,54,59,10,18,15,14,0.60,0.35,0.82,23,1633
1744,124,50,60,18,18,10,16,0.56,0.49,0.90,23,1634
1745,88,52,58,17,10,17,13,0.51,0.43,0.80,12,1635
1746,119,58,45,15,11,15,11,0.63,0.23,0.80,9,1636
1747,122,51,46,11,12,10,12,0.48,0.32,0.71,27,1637
1748,82,58,58,11,10,16,17,0.66,0.38,0.70,15,1638
1749,109,47,40,15,14,20,16,0.42,0.21,0.88,7,1639
1750,94,44,45,16,13,19,11,0.61,0.48,0.88,14,1640
1751,126,47,50,15,15,10,10,0.66,0.27,0.72,5,1641
1752,103,55,46,19,12,11,17,0.54,0.39,0.86,11,1642
1753,100,40,57,13,16,11,10,0.47,0.26,0.82,25,1643
1754,126,49,57,17,20,17,12,0.49,0.21,0.88,19,1644
1755,108,57,43,20,16,13,16,0.65,0.50,0.88,10,1645
1756,96,53,45,12,18,15,15,0.44,0.42,0.75,29,1646
1757,126,47,58,19,11,11,10,0.49,0.35,0.78,7,1647
1758,108,40,52,17,17,11,19,0.57,0.31,0.75,15,1648
1759,95,57,49,13,15,16,10,0.64,0.48,0.83,9,1649
1760,124,45,50,20,17,18,20,0.56,0.39,0.86,21,1650
1761,85,58,54,17,17,17,20,0.64,0.41,0.87,23,1651
1762,129,51,47,15,12,16,10,0.69,0.43,0.71,16,1652
1763,119,51,41,14,13,17,12,0.47,0.37,0.88,2,1653
1764,96,44,52,13,17,16,15,0.43,0.42,0.75,21,1654
1765,93,60,43,20,19,20,11,0.60,0.42,0.83,28,1655
1766,82,58,47,17,17,18,14,0.49,0.40,0.78,17,1656
1767,123,58,43,11,10,19,14,0.50,0.48,0.84,18,1657
1768,85,51,52,17,19,11,20,0.69,0.28,0.87,11,1658
1769,103,60,40,18,11,15,11,0.62,0.28,0.80,16,1659
1770,111,41,59,18,19,13,19,0.45,0.37,0.74,21,1660
1771,116,45,55,14,15,15,11,0.51,0.36,0.70,11,1661
1772,80,47,47,16,13,14,18,0.46,0.35,0.87,15,1662
1773,107,60,46,16,13,18,16,0.48,0.43,0.89,1,1663
1774,128,46,60,15,11,15,13,0.56,0.42,0.87,3,1664
1775,122,53,53,15,20,20,17,0.53,0.28,0.87,2,1665
1776,114,42,60,11,15,19,11,0.65,0.22,0.83,30,1666
1777,130,54,46,12,12,18,15,0.58,0.36,0.87,9,1667
1778,121,59,52,16,15,15,16,0.61,0.32,0.80,12,1668
1779,125,49,44,10,15,10,20,0.54,0.24,0.74,15,1669
1780,124,48,49,19,16,14,10,0.45,0.38,0.89,28,1670
1781,93,56,54,20,17,17,11,0.47,0.33,0.80,10,1671
1782,102,56,53,10,13,18,12,0.44,0.31,0.87,27,1672
1783,95,49,52,18,11,14,12,0.63,0.22,0.79,15,1673
1784,118,50,59,10,11,15,17,0.57,0.35,0.75,20,1674
1785,99,49,42,11,11,14,20,0.53,0.31,0.81,1,1675
1786,92,43,44,16,16,18,13,0.53,0.44,0.88,26,1676
1787,94,59,51,10,17,14,13,0.53,0.27,0.74,25,1677
1788,100,46,52,17,12,19,20,0.58,0.37,0.87,3,1678
1789,117,51,52,17,17,17,19,0.41,0.21,0.72,1,1679
1790,102,48,60,20,10,17,12,0.49,0.21,0.89,24,1680
1791,108,42,43,16,16,10,14,0.54,0.45,0.79,29,1681
1792,130,42,56,12,15,14,11,0.68,0.35,0.74,2,1682
1793,124,48,56,12,12,12,17,0.55,0.48,0.75,16,1683
1794,116,48,45,19,11,18,11,0.59,0.31,0.81,14,1684
1795,93,45,58,18,10,19,16,0.43,0.44,0.83,30,1685
1796,125,59,43,16,17,10,16,0.60,0.37,0.88,13,1686
1797,112,57,52,20,12,10,20,0.65,0.44,0.90,27,1687
1798,109,60,60,20,13,15,14,0.43,0.49,0.77,30,1688
1799,114,53,52,19,17,19,12,0.50,0.34,0.80,2,1689
1800,109,47,55,13,19,14,11,0.46,0.29,0.88,29,1690
1801,95,53,43,12,17,11,12,0.50,0.45,0.80,11,1691
1802,97,46,57,15,20,13,13,0.63,0.49,0.78,19,1692
1803,124,45,47,13,20,11,19,0.53,0.29,0.73,25,1693
1804,84,53,60,19,14,12,11,0.49,0.43,0.72,21,1694
1805,106,48,55,11,11,11,20,0.67,0.50,0.85,11,1695
1806,112,60,54,13,12,17,15,0.68,0.42,0.73,25,1696
1807,80,54,57,18,13,17,15,0.70,0.35,0.76,5,1697
